,Surface,"GH*,ML ","GH*,DFT"
0,AgAg,-0.02,-0.18
1,AgAu,-0.52,-0.96
2,AgCd,-0.66,-0.89
3,AgCo,0.15,0.05
4,AgFe,0.15,0.17
5,AgIr,-0.5,-0.57
6,AgMn,-0.36,-0.79
7,AgOs,-0.65,-0.66
8,AgPd,-0.14,-0.09
9,AgPt,0.17,0.21
10,AgRe,-0.37,-0.53
11,AgRh,0,0.03
12,AgRu,-0.28,-0.52
13,AgSc,-1.92,-1.87
14,AgTc,-0.27,-0.34
15,AuAu,0.14,0.07
16,AuCd,-1.07,-1.09
17,AuCo,0.32,0.04
18,AuCr,0.19,0.09
19,AuCu,0.35,0.48
20,AuFe,0.41,0.26
21,AuMn,0,0.2
22,AuPd,0.28,0.72
23,AuPt,0.44,0.44
24,AuRu,-0.1,-0.4
25,AuSc,-1.59,-1.92
26,AuTc,-0.36,-0.37
27,AuW,-0.78,-0.96
28,AuZn,-0.69,-0.69
29,CdCo,-0.13,-0.25
30,CdCr,0.5,0.38
31,CdCu,-0.16,-0.18
32,CdFe,0.01,-0.16
33,CdMn,0.18,0.05
34,CdNi,-0.02,-0.09
35,CdPd,0.15,0.07
36,CdRh,-0.21,-0.24
37,CdRu,-0.42,-0.52
38,CdTa,-0.43,-0.58
39,CdTc,-0.11,-0.23
40,CdTi,-0.12,-0.19
41,CdV,0.07,-0.05
42,CdZn,0.04,-0.06
43,CdZr,-0.33,-0.54
44,CoCr,-0.59,-0.68
45,CoMo,-0.52,-0.56
46,CoOs,-0.72,-0.65
47,CoPd,-0.33,-0.38
48,CoPt,-0.42,-0.47
49,CoRe,-0.7,-0.71
50,CoRh,-0.39,-0.49
51,CoRu,-0.23,-0.38
52,CoTa,-0.76,-0.85
53,CoW,-0.78,-0.85
54,CoY,-0.24,-0.13
55,CrCr,-0.81,-0.84
56,CrFe,-0.57,-0.67
57,CrMn,-0.57,-0.66
58,CrNb,-0.63,-0.67
59,CrNi,-0.34,-0.3
60,CrPt,-0.63,-0.65
61,CrRe,-0.89,-1.07
62,CrRh,-0.56,-0.77
63,CrRu,-0.32,-0.54
64,CrSc,-0.86,-0.86
65,CrTc,-0.45,-0.44
66,CrV,-0.7,-0.71
67,CrY,-0.44,-0.55
68,CrZr,-0.28,-0.07
69,CuCu,0.53,0.66
70,CuHf,-1.06,-1.18
71,CuIr,-0.3,-0.36
72,CuMo,-0.48,-0.52
73,CuNi,0.33,0.32
74,CuOs,-0.62,-0.72
75,CuRe,-0.84,-0.76
76,CuRh,-0.02,-0.1
77,CuTa,-0.99,-1.06
78,CuTi,-0.45,-0.56
79,CuW,-0.75,-0.89
80,CuZn,-0.17,0.11
81,FeIr,-0.63,-0.54
82,FeNb,-0.48,-0.57
83,FeOs,-0.53,-0.68
84,FeRe,-0.63,-0.49
85,FeRh,-0.41,-0.37
86,FeTa,-0.56,-0.92
87,FeTc,-0.17,-0.21
88,FeY,-0.24,-0.41
89,HfHf,-1.59,-1.47
90,HfMn,-0.94,-0.92
91,HfMo,-1.39,-1.52
92,HfNb,-1.56,-1.54
93,HfRh,-0.7,-0.77
94,HfW,-1.2,-0.58
95,IrMn,-0.6,-0.88
96,IrNi,-0.39,-0.72
97,IrPd,-0.57,-0.67
98,IrRe,-0.84,-0.81
99,IrRu,-0.4,-0.42
100,IrTi,-0.6,-0.74
101,IrY,-0.4,-0.25
102,MnMn,-0.45,-0.63
103,MnNi,-0.13,0.06
104,MnSc,-0.64,-0.68
105,MnTc,-0.35,-0.41
106,MnW,-0.76,-0.84
107,MnZn,-0.5,-0.67
108,MoNb,-1.02,-1.07
109,MoNi,-0.37,-0.52
110,MoPt,-0.62,-0.59
111,MoRe,-0.5,-0.52
112,MoRh,-0.6,-0.6
113,MoSc,-0.4,-0.48
114,MoTc,-0.22,-0.21
115,MoV,-0.46,-0.55
116,MoZr,-0.8,-1.15
117,NbNi,-0.56,-0.75
118,NbPd,-0.9,-0.79
119,NbRu,-0.2,-0.25
120,NbSc,-0.7,-0.27
121,NbTa,-1.45,-1.51
122,NbTi,-1.33,-1.55
123,NbW,-1.24,-1.32
124,NbZr,-1.23,-1.34
125,NiOs,-0.59,-0.68
126,NiPt,-0.15,-0.25
127,NiRh,-0.15,-0.47
128,NiSc,-0.16,-0.33
129,NiTc,-0.15,-0.39
130,NiV,-0.23,-0.06
131,NiW,-0.71,-0.83
132,NiY,-0.15,-0.39
133,NiZr,-0.04,-0.02
134,OsOs,-0.74,-0.35
135,OsPd,-0.85,-1.07
136,OsRh,-0.64,-0.69
137,OsTa,-0.52,-0.51
138,OsTc,-0.42,0.02
139,OsV,-0.31,-0.74
140,OsZn,-0.82,-0.83
141,OsZr,-0.64,-0.66
142,PdRe,-0.85,-1.14
143,PdRu,-0.2,-0.25
144,PdSc,-0.55,-0.73
