,Surface,"GH*,ML"
200,AgCr.cif,-0.3449
201,AgCu.cif,0.2551
202,AgMo.cif,-0.7549
203,AgNi.cif,0.1151
204,AgTi.cif,-1.5349
205,AgV.cif,-0.7149
206,AgW.cif,-0.9549
207,AgZn.cif,-0.5149
208,AuHf.cif,-1.2449
209,AuIr.cif,-0.6249
210,AuMo.cif,-0.5549
211,AuNb.cif,-0.8249
212,AuNi.cif,0.7351
213,AuOs.cif,-0.7049
214,AuRe.cif,-0.7949
215,AuRh.cif,-0.3549
216,AuTa.cif,-1.1449
217,AuTi.cif,-0.5749
218,AuV.cif,-0.0549
219,AuY.cif,-2.2049
220,AuZr.cif,-0.9949
221,CdCd.cif,0.2351
222,CdHf.cif,-0.7549
223,CdIr.cif,-0.3449
224,CdMo.cif,-0.3349
225,CdNb.cif,-0.4049
226,CdOs.cif,-0.6749
227,CdPt.cif,-0.0349
228,CdRe.cif,-0.6149
229,CdSc.cif,0.2751
230,CdW.cif,-0.6249
231,CdY.cif,0.1151
232,CoCo.cif,-0.4149
233,CoCu.cif,0.0251
234,CoFe.cif,-0.1049
235,CoHf.cif,-0.2249
236,CoIr.cif,-0.7249
237,CoMn.cif,-0.5949
238,CoNb.cif,-0.1949
239,CoNi.cif,-0.3249
240,CoSc.cif,5.9951
241,CoTc.cif,-0.3749
242,CoTi.cif,-0.4249
243,CoV.cif,-0.3849
244,CoZn.cif,-0.4549
245,CoZr.cif,-0.2249
246,CrCu.cif,0.1251
247,CrHf.cif,-0.7649
248,CrIr.cif,-0.9349
249,CrMo.cif,-0.8749
250,CrOs.cif,-0.8049
251,CrPd.cif,-0.4449
252,CrTa.cif,-0.0649
253,CrTi.cif,-0.7849
254,CrW.cif,-0.6849
255,CrZn.cif,-0.8649
256,CuFe.cif,0.1251
257,CuMn.cif,-0.0249
258,CuNb.cif,-0.7549
259,CuPd.cif,0.3151
260,CuPt.cif,0.0851
261,CuRu.cif,-0.6249
262,CuSc.cif,-0.7649
263,CuTc.cif,-0.4049
264,CuV.cif,-0.2549
265,CuY.cif,-0.8349
266,CuZr.cif,-0.8449
267,FeFe.cif,-0.2549
268,FeHf.cif,-0.2749
269,FeMn.cif,-0.5449
270,FeMo.cif,-0.5749
271,FeNi.cif,-0.0749
272,FePd.cif,-0.1149
273,FePt.cif,-0.3249
274,FeRu.cif,-0.4149
275,FeSc.cif,-0.5749
276,FeTi.cif,-0.5249
277,FeV.cif,-0.9649
278,FeW.cif,-0.7149
279,FeZn.cif,-0.6049
280,FeZr.cif,-0.4949
281,HfIr.cif,-0.4749
282,HfNi.cif,-0.8849
283,HfOs.cif,-0.8049
284,HfPd.cif,-0.8949
285,HfPt.cif,-0.8349
286,HfRe.cif,-1.5049
287,HfRu.cif,-0.5849
288,HfSc.cif,-1.3549
289,HfTa.cif,-1.5649
290,HfTc.cif,-1.5949
291,HfTi.cif,-1.3349
292,HfV.cif,-0.8149
293,HfY.cif,-0.6049
294,HfZn.cif,-0.3749
295,HfZr.cif,-1.5649
296,IrIr.cif,-0.3049
297,IrMo.cif,-0.6549
298,IrNb.cif,-0.1349
299,IrOs.cif,-0.4449
300,IrPt.cif,-0.6249
301,IrRh.cif,-0.3049
302,IrSc.cif,-0.7049
303,IrTa.cif,-0.2849
304,IrTc.cif,-0.4649
305,IrV.cif,-0.7349
306,IrW.cif,-0.9849
307,IrZn.cif,-0.5549
308,IrZr.cif,-0.3449
309,MnMo.cif,-0.4649
310,MnNb.cif,0.0051
311,MnOs.cif,-0.7349
312,MnPd.cif,-0.0049
313,MnPt.cif,-0.2049
314,MnRe.cif,-0.7449
315,MnRh.cif,-0.8349
316,MnRu.cif,-0.4249
317,MnTa.cif,-0.4949
318,MnTi.cif,-0.6149
319,MnV.cif,-0.7249
320,MnY.cif,-0.5749
321,MnZr.cif,-0.1749
322,MoMo.cif,-0.8249
323,MoOs.cif,-0.3349
324,MoPd.cif,-0.5749
325,MoRu.cif,-0.2449
326,MoTa.cif,-1.3949
327,MoTi.cif,-1.1849
328,MoW.cif,-1.2249
329,MoY.cif,-0.4649
330,MoZn.cif,-0.4549
331,NbNb.cif,-1.2549
332,NbOs.cif,-0.3649
333,NbPt.cif,-0.8249
334,NbRe.cif,-0.8949
335,NbRh.cif,-0.3849
336,NbTc.cif,-0.9249
337,NbV.cif,-0.6849
338,NbY.cif,-1.2249
339,NbZn.cif,-0.7049
340,NiNi.cif,-0.0349
341,NiPd.cif,-0.0849
342,NiRe.cif,-0.7949
343,NiRu.cif,-0.4749
344,NiTa.cif,-1.0549
345,NiTi.cif,-0.4449
346,NiZn.cif,-0.1449
347,OsPt.cif,-0.6049
348,OsRe.cif,-0.7349
349,OsRu.cif,-0.4249
350,OsSc.cif,-0.3749
351,OsTi.cif,-1.0649
352,OsW.cif,-0.6049
353,OsY.cif,-0.3949
354,PdPd.cif,-0.3349
355,PdPt.cif,-0.5149
356,PdRh.cif,-0.8849
357,PdV.cif,-0.2749
358,PdZn.cif,-0.5049
359,PdZr.cif,-0.7049
360,PtRh.cif,-0.6049
361,PtRu.cif,-0.3349
362,PtTa.cif,-1.1349
363,PtTc.cif,-0.3549
364,PtTi.cif,-0.4849
365,PtV.cif,-0.4749
366,PtY.cif,-0.1249
367,PtZn.cif,-0.8249
368,ReRe.cif,-0.5449
369,ReRh.cif,-0.8349
370,ReTa.cif,-1.2349
371,ReTc.cif,-0.1149
372,ReTi.cif,-1.4649
373,ReW.cif,-0.5049
374,ReZn.cif,-0.8249
375,ReZr.cif,-1.5249
376,RhSc.cif,-0.5649
377,RhV.cif,-0.6149
378,RhW.cif,-0.9349
379,RuSc.cif,-0.2449
380,RuTa.cif,-0.3449
381,RuTc.cif,-0.3049
382,RuTi.cif,-0.7749
383,RuZr.cif,-0.4149
384,ScV.cif,-0.7949
385,ScY.cif,-1.2249
386,TaTa.cif,-1.5849
387,TaTc.cif,-1.2049
388,TaTi.cif,-0.4649
389,TaV.cif,-0.4649
390,TaZr.cif,-1.5549
391,TcTc.cif,-0.0149
392,TcZr.cif,-1.1849
393,TiV.cif,-0.7649
394,TiZn.cif,-0.6749
395,VW.cif,-1.3349
396,VY.cif,-0.7649
397,VZr.cif,-0.6149
398,WZr.cif,-1.4849
399,ZnZn.cif,-0.6649
400,ZnZr.cif,-0.4649
